minute,second,duration,play_pattern,position,shot_technique,shot_body_part,shot_type,shot_first_time,shot_open_goal,shot_one_on_one,shot_aerial_won,under_pressure,start_x,start_y,end_x,end_y,shot_outcome,shot_key_pass
44,29,0.706588,1,24.0,93.0,40.0,87.0,0,0,0,0,0,113.3,46.6,120.0,40.3,1.0,1
47,8,1.094932,1,15.0,93.0,37.0,87.0,0,0,0,0,0,107.7,36.5,118.6,42.0,0.0,1
48,44,0.203888,1,24.0,93.0,38.0,87.0,0,0,0,0,0,104.7,36.8,106.8,36.8,0.0,1
50,16,0.145491,1,22.0,93.0,40.0,87.0,0,0,1,0,0,110.9,30.1,114.4,33.6,0.0,1
50,17,0.751596,1,24.0,93.0,40.0,87.0,1,0,0,0,0,102.9,31.2,120.0,43.3,1.0,0
57,22,0.187087,4,24.0,93.0,40.0,87.0,0,0,0,0,0,93.2,33.2,99.0,35.2,0.0,1
59,35,1.668378,3,22.0,93.0,38.0,62.0,0,0,0,0,0,91.9,40.3,120.0,36.7,0.0,0
61,42,1.105909,3,22.0,93.0,38.0,62.0,0,0,0,0,0,97.6,57.2,119.3,44.6,0.0,0
62,8,0.11347,2,24.0,91.0,40.0,87.0,1,0,0,0,0,117.5,46.6,118.1,44.7,0.0,1
62,10,1.300559,2,3.0,93.0,37.0,87.0,0,0,0,1,1,113.8,39.5,120.0,36.9,1.0,0
66,6,0.145234,3,15.0,93.0,40.0,87.0,0,0,0,0,0,99.8,27.1,102.1,28.6,0.0,1
68,54,1.455591,3,22.0,93.0,38.0,62.0,0,0,0,0,0,93.8,38.8,118.5,40.4,0.0,0
72,57,0.069514,3,15.0,93.0,40.0,87.0,0,0,0,0,0,103.1,22.4,105.3,25.1,0.0,1
79,10,0.338686,4,24.0,93.0,40.0,87.0,0,0,0,0,0,97.2,28.5,105.0,33.7,0.0,1
79,44,0.112956,2,5.0,95.0,38.0,87.0,0,0,0,0,0,109.7,37.1,110.5,37.2,0.0,1
82,50,0.994761,3,15.0,93.0,40.0,87.0,0,0,0,0,0,95.7,24.7,118.5,40.2,0.0,1
87,26,1.201383,1,15.0,93.0,40.0,87.0,0,0,0,0,0,95.3,33.0,120.0,45.3,0.0,1
6,1,1.008618,1,21.0,93.0,40.0,87.0,0,0,0,0,0,100.0,19.0,120.0,35.1,0.0,1
7,0,1.054088,4,23.0,93.0,37.0,87.0,0,0,0,0,0,107.1,38.1,119.7,28.4,0.0,1
11,8,1.103274,4,15.0,91.0,40.0,87.0,0,0,0,0,0,98.1,38.5,120.0,42.8,1.0,1
16,10,1.08592,4,17.0,93.0,38.0,87.0,0,0,0,0,0,95.8,42.0,120.0,35.9,0.0,1
17,34,0.711417,1,17.0,93.0,38.0,87.0,1,0,0,0,0,100.4,41.6,118.1,39.1,0.0,1
22,36,1.197526,1,10.0,93.0,40.0,87.0,0,0,0,0,1,89.6,29.2,120.0,47.3,0.0,1
24,41,0.309237,3,7.0,93.0,38.0,87.0,0,0,0,0,1,97.0,59.1,116.7,39.5,0.0,0
32,10,0.517777,1,7.0,91.0,40.0,87.0,0,0,0,0,0,101.1,58.1,103.1,56.1,0.0,1
37,46,0.962833,7,23.0,93.0,37.0,87.0,0,0,0,0,0,108.0,32.9,118.7,38.4,0.0,1
44,20,1.164993,1,21.0,93.0,40.0,87.0,0,0,0,0,0,100.8,20.8,117.0,39.8,0.0,1
51,45,0.666871,4,17.0,93.0,37.0,87.0,0,0,0,0,0,113.7,45.2,120.0,39.8,1.0,1
52,54,1.148147,1,21.0,93.0,40.0,87.0,1,0,0,0,0,104.6,37.0,120.0,38.4,1.0,0
62,44,1.760512,2,13.0,93.0,40.0,87.0,0,0,0,0,0,91.8,26.1,118.3,38.9,0.0,1
65,28,0.3559,1,23.0,93.0,40.0,87.0,1,0,0,0,0,105.5,39.9,110.0,39.9,0.0,1
79,26,0.715878,4,15.0,93.0,40.0,87.0,0,0,0,0,0,104.9,32.0,118.4,41.6,0.0,1
79,28,0.48631,4,13.0,91.0,40.0,87.0,1,0,0,0,0,112.1,48.1,117.8,43.1,0.0,0
85,56,0.71629,7,2.0,93.0,40.0,87.0,1,0,0,0,0,106.1,54.1,120.0,42.5,0.0,0
91,13,0.9035,4,23.0,93.0,38.0,87.0,0,0,1,0,1,102.1,27.1,113.9,35.6,0.0,0
2,54,1.465153,4,2.0,93.0,40.0,87.0,0,0,0,0,0,90.8,50.2,120.0,30.7,0.0,0
6,37,1.101809,3,23.0,93.0,40.0,62.0,0,0,0,0,0,88.7,28.5,120.0,35.5,0.0,0
11,48,1.155306,1,24.0,92.0,40.0,87.0,1,0,0,0,1,96.4,36.5,120.0,46.3,0.0,1
12,49,0.995817,1,22.0,93.0,38.0,87.0,0,0,0,0,0,90.5,32.5,116.5,38.4,0.0,1
14,52,1.075357,4,16.0,93.0,40.0,87.0,1,0,0,0,0,99.7,41.2,120.0,49.1,0.0,1
24,58,0.139598,3,23.0,93.0,38.0,87.0,1,0,0,0,0,110.1,41.7,114.3,41.8,0.0,1
27,58,0.488703,2,6.0,91.0,38.0,87.0,1,0,0,0,0,92.7,34.9,105.9,39.3,0.0,0
33,27,0.809232,4,15.0,93.0,40.0,87.0,0,0,0,0,0,96.7,29.7,120.0,32.4,0.0,1
37,28,0.236759,4,23.0,93.0,40.0,87.0,0,0,1,0,0,114.4,52.8,119.0,44.7,0.0,1
38,0,0.718625,2,21.0,93.0,38.0,87.0,0,0,0,0,0,103.0,26.7,120.0,34.8,0.0,0
40,7,0.61332,2,2.0,95.0,40.0,87.0,1,0,0,0,0,115.0,48.2,120.0,37.2,1.0,1
42,56,0.535754,9,21.0,93.0,37.0,87.0,0,0,1,0,0,111.0,42.1,118.8,37.7,0.0,1
45,58,1.185398,4,21.0,95.0,40.0,87.0,1,0,0,0,0,103.8,35.7,119.2,40.1,0.0,0
53,42,1.095356,1,17.0,93.0,38.0,87.0,0,0,0,0,0,98.2,58.3,117.2,40.8,0.0,1
61,47,0.694376,4,21.0,95.0,40.0,87.0,1,0,0,0,0,111.4,30.2,120.0,36.7,0.0,1
61,49,1.377522,4,23.0,95.0,38.0,87.0,1,1,0,0,0,115.6,40.8,115.9,40.3,0.0,0
63,22,2.032485,8,22.0,92.0,40.0,87.0,0,0,0,0,0,86.5,64.9,120.0,44.4,0.0,0
68,12,0.104837,4,11.0,93.0,40.0,87.0,0,0,0,0,0,96.2,30.6,98.0,31.4,0.0,1
71,22,1.084112,3,19.0,93.0,38.0,62.0,0,0,0,0,0,94.6,47.4,117.6,43.3,0.0,0
72,11,0.229704,1,17.0,93.0,38.0,87.0,1,0,0,0,0,107.5,49.2,111.8,45.2,0.0,1
72,13,0.218986,1,19.0,91.0,38.0,87.0,0,0,0,0,0,105.9,51.8,109.6,49.2,0.0,0
72,44,0.148657,1,16.0,93.0,38.0,87.0,0,0,0,0,0,101.4,23.6,103.7,25.3,0.0,1
73,32,0.082821,6,24.0,93.0,40.0,87.0,0,0,0,0,0,102.8,40.7,103.7,40.7,0.0,1
76,32,0.59534,1,19.0,91.0,38.0,87.0,0,0,0,0,0,107.9,32.3,120.0,36.1,0.0,1
77,0,0.819365,1,19.0,93.0,38.0,87.0,0,0,0,0,0,100.0,34.3,120.0,35.6,0.0,1
83,24,0.900103,7,19.0,93.0,38.0,87.0,0,0,0,0,0,107.9,60.7,117.5,42.9,0.0,1
83,27,0.529275,7,17.0,93.0,38.0,87.0,1,0,0,0,0,115.3,44.0,120.0,42.2,1.0,1
90,13,0.69849,3,11.0,91.0,40.0,87.0,0,0,0,0,1,108.8,33.7,120.0,38.2,0.0,1
1,17,0.054257,2,3.0,91.0,40.0,87.0,1,1,0,0,0,118.8,42.7,120.0,43.5,1.0,0
5,13,0.728315,1,22.0,93.0,38.0,87.0,0,0,0,0,0,106.5,27.4,117.4,40.3,0.0,1
6,2,1.177407,2,11.0,93.0,38.0,87.0,0,0,0,0,0,97.2,45.3,120.0,35.2,0.0,1
11,47,0.631085,1,22.0,93.0,40.0,87.0,1,0,0,0,0,98.9,39.7,117.8,41.1,0.0,1
17,59,2.43122,1,23.0,92.0,40.0,87.0,0,0,0,0,0,77.1,78.0,120.0,46.2,0.0,0
20,29,0.973209,1,17.0,93.0,38.0,87.0,0,0,0,0,0,95.8,47.7,117.9,39.2,0.0,1
22,44,0.866476,1,17.0,93.0,38.0,87.0,1,0,0,0,0,96.8,40.4,120.0,43.9,1.0,1
38,18,0.090651,1,16.0,93.0,40.0,87.0,1,0,0,0,0,109.6,39.3,111.3,39.4,0.0,1
38,21,0.9274,1,6.0,93.0,38.0,87.0,1,0,0,0,0,109.0,24.1,120.0,47.7,0.0,0
44,30,0.128415,1,6.0,93.0,40.0,87.0,0,0,0,0,1,102.8,28.6,105.8,30.4,0.0,1
